time,USTEC_close,US2000_close
2026-01-05 00:00:00+00:00,20000.0,2200.39933
2026-01-05 00:01:00+00:00,20001.22968,2200.56117
2026-01-05 00:02:00+00:00,20002.45744,2200.72212
2026-01-05 00:03:00+00:00,20003.68137,2200.88192
2026-01-05 00:04:00+00:00,20004.89955,2201.04032
2026-01-05 00:05:00+00:00,20006.11008,2201.19708
2026-01-05 00:06:00+00:00,20007.31108,2201.35195
2026-01-05 00:07:00+00:00,20008.50067,2201.50468
2026-01-05 00:08:00+00:00,20009.677,2201.65504
2026-01-05 00:09:00+00:00,20010.83823,2201.80279
2026-01-05 00:10:00+00:00,20011.98255,2201.9477
2026-01-05 00:11:00+00:00,20013.10818,2202.08954
2026-01-05 00:12:00+00:00,20014.21338,2202.2281
2026-01-05 00:13:00+00:00,20015.2964,2202.36314
2026-01-05 00:14:00+00:00,20016.35559,2202.49447
2026-01-05 00:15:00+00:00,20017.38927,2202.62187
2026-01-05 00:16:00+00:00,20018.39586,2202.74515
2026-01-05 00:17:00+00:00,20019.37379,2202.86412
2026-01-05 00:18:00+00:00,20020.32154,2202.97858
2026-01-05 00:19:00+00:00,20021.23764,2203.08837
2026-01-05 00:20:00+00:00,20022.12068,2203.19331
2026-01-05 00:21:00+00:00,20022.96929,2203.29323
2026-01-05 00:22:00+00:00,20023.78217,2203.38799
2026-01-05 00:23:00+00:00,20024.55805,2203.47743
2026-01-05 00:24:00+00:00,20025.29575,2203.56142
2026-01-05 00:25:00+00:00,20025.99413,2203.63983
2026-01-05 00:26:00+00:00,20026.65213,2203.71253
2026-01-05 00:27:00+00:00,20027.26873,2203.77942
2026-01-05 00:28:00+00:00,20027.84301,2203.8404
2026-01-05 00:29:00+00:00,20028.37409,2203.89536
2026-01-05 00:30:00+00:00,20028.86117,2203.94423
2026-01-05 00:31:00+00:00,20029.30352,2203.98694
2026-01-05 00:32:00+00:00,20029.70048,2204.02341
2026-01-05 00:33:00+00:00,20030.05145,2204.05361
2026-01-05 00:34:00+00:00,20030.35594,2204.07747
